Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count,Zip Codes
,OTHER,BAT,BROWN,Unknown,SMALL,,K19-031710,EUTH,A384994,03/17/2019,03/17/2019,0,QUARANTINE,FLD_STRAY,EUTHANIZE,FRA,UNKNOWN,UNTREATABLE,*SEBASTOPOL,,,,1,
,CAT,DOMESTIC SH,CREAM,Female,SMALL,,K18-028341,CI01,A372719,05/21/2018,05/21/2018,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,TREATABLE/REHAB,UNTREATABLE,SANTA ROSA,,,,1,
,OTHER,BAT,BLACK,Unknown,SMALL,,K19-031717,EUTH,A385008,03/18/2019,03/19/2019,1,QUARANTINE,FLD_STRAY,EUTHANIZE,FRA,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
DAISY,CAT,DOMESTIC MH,WHITE/TAN,Spayed,MED,05/15/2010,K18-028261,CS06,A372551,05/15/2018,05/22/2018,7,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNKNOWN,HEALTHY,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,CALICO/SEAL PT,Female,SMALL,09/04/2005,K18-029713,SMM,A375772,09/04/2018,09/08/2018,4,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,SEAL PT/BROWN,Neutered,SMALL,,K18-029816,EUTH,A375921,09/08/2018,09/08/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
VINNIE,DOG,ROTTWEILER/LABRADOR RETR,BLACK/BROWN,Neutered,LARGE,,K18-029411,DQ116,A374994,08/09/2018,08/10/2018,1,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,,K18-029107,RECEIVING,A374714,07/13/2018,07/13/2018,0,STRAY,COMM CAT,EUTHANIZE,UNDERAGEWT,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
,CAT,DOMESTIC SH,ORANGE/WHITE,Unknown,KITTN,,K18-029111,RECEIVING,A374718,07/13/2018,07/13/2018,0,STRAY,COMM CAT,EUTHANIZE,UNDERAGEWT,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
ENZO,DOG,PIT BULL,GRAY,Male,LARGE,,K18-029315,DQ118,A375100,08/01/2018,08/10/2018,9,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,BLACK,Male,KITTN,05/15/2018,K18-028346,SMM,A372728,05/22/2018,05/22/2018,0,STRAY,MUN_SHELT,EUTHANIZE,UNDERAGEWT,UNKNOWN,TREATABLE/REHAB,*PETALUMA,,,,1,
,CAT,DOMESTIC SH,AGOUTI,Unknown,SMALL,,K18-028364,COOLER,A372754,05/22/2018,05/22/2018,0,STRAY,FIELD,DISPOSAL,DOA,HEALTHY,DEAD,COUNTY,,,,1,
,CAT,DOMESTIC SH,BRN TABBY,Female,KITTN,05/15/2018,K18-028347,SMM,A372729,05/22/2018,05/22/2018,0,STRAY,MUN_SHELT,EUTHANIZE,UNDERAGEWT,UNKNOWN,UNTREATABLE,*PETALUMA,,,,1,
,DOG,GERM SHEPHERD,YELLOW,Male,LARGE,11/14/2017,K18-028624,DI103,A373987,06/12/2018,06/19/2018,7,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,ORG TABBY,Unknown,SMALL,,K18-028365,COOLER,A372755,05/22/2018,05/22/2018,0,STRAY,FIELD,DISPOSAL,DOA,HEALTHY,DEAD,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,,K18-029109,RECEIVING,A374716,07/13/2018,07/13/2018,0,STRAY,COMM CAT,EUTHANIZE,UNDERAGEWT,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
,DOG,PIT BULL,BLUE/WHITE,Male,LARGE,05/21/2009,K18-028323,DS60,A372648,05/18/2018,06/19/2018,32,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,GRAY/WHITE,Female,SMALL,,K18-030109,CS06,A377218,10/03/2018,10/09/2018,6,STRAY,OVER THE COUNTER,DIED,IN SURGERY,UNKNOWN,DEAD,WINDSOR,,,,1,
,CAT,DOMESTIC SH,BLACK/WHITE,Male,SMALL,,K18-030103,COOLER,A377209,10/03/2018,10/11/2018,8,STRAY,FIELD,DISPOSAL,DOA,UNKNOWN,DEAD,COUNTY,,,,1,
ROXY,DOG,PIT BULL,BLACK/WHITE,Spayed,MED,11/05/2016,K18-029831,DS68,A375946,09/11/2018,10/11/2018,30,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,,K18-029108,RECEIVING,A374715,07/13/2018,07/13/2018,0,STRAY,COMM CAT,EUTHANIZE,UNDERAGEWT,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
THOR,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,05/04/2007,K18-029038,CS05,A291590,07/10/2018,07/13/2018,3,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,CON SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,ORANGE/WHITE,Unknown,KITTN,,K18-029110,RECEIVING,A374717,07/13/2018,07/13/2018,0,STRAY,COMM CAT,EUTHANIZE,UNDERAGEWT,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
,OTHER,CHICKEN,RED/BLACK,Male,MED,,K18-028779,SAL,A374248,06/25/2018,10/11/2018,108,CONFISCATE,FLD_CRUEL,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,GRAY/WHITE,Unknown,MED,,K18-028373,EUTH,A372777,05/23/2018,05/23/2018,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,BUFF/WHITE,Neutered,SMALL,05/12/2007,K18-028228,CI01,A372481,05/12/2018,05/23/2018,11,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
,OTHER,PONY,BROWN/BLACK,Neutered,X-LRG,,K18-030969,CHANGE,A382149,12/22/2018,,0,STRAY,FIELD,,,UNKNOWN,,COUNTY,,,,1,
,CAT,SIAMESE,SEAL PT,Female,SMALL,,K18-030957,COOLER,A382101,12/20/2018,12/21/2018,1,STRAY,FIELD,DISPOSAL,DOA,UNKNOWN,DEAD,SANTA ROSA,,,,1,
,DOG,PIT BULL,BL BRINDLE,Female,LARGE,01/12/2016,K19-031186,DA18,A383473,01/12/2019,01/31/2019,19,STRAY,OVER THE COUNTER,EUTHANIZE,BEH SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
