,Name,Type,Breed,Color,Sex,Size,Animal ID,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Intake Condition,Intake Jurisdiction,PredomBreed,PredomColor,DOB,IntakeDate,IntakeAge,IntakeAgeYrs
0,,OTHER,BAT,BROWN,Unknown,SMALL,A384994,0,QUARANTINE,FLD_STRAY,EUTHANIZE,UNKNOWN,*SEBASTOPOL,BAT,BROWN,,2019-03-17,,-1.0
1,,CAT,DOMESTIC SH,CREAM,Female,SMALL,A372719,0,STRAY,FIELD,EUTHANIZE,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,CREAM,,2018-05-21,,-1.0
2,,OTHER,BAT,BLACK,Unknown,SMALL,A385008,1,QUARANTINE,FLD_STRAY,EUTHANIZE,UNTREATABLE,SANTA ROSA,BAT,BLACK,,2019-03-18,,-1.0
3,DAISY,CAT,DOMESTIC MH,WHITE/TAN,Spayed,MED,A372551,7,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,DOMESTIC MH,WHITE,2010-05-15,2018-05-15,2922 days 00:00:00.000000000,8.01
4,,CAT,DOMESTIC SH,CALICO/SEAL PT,Female,SMALL,A375772,4,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC SH,CALICO,2005-09-04,2018-09-04,4748 days 00:00:00.000000000,13.01
5,,CAT,DOMESTIC SH,SEAL PT/BROWN,Neutered,SMALL,A375921,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC SH,SEAL PT,,2018-09-08,,-1.0
6,VINNIE,DOG,ROTTWEILER/LABRADOR RETR,BLACK/BROWN,Neutered,LARGE,A374994,1,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,ROTTWEILER,BLACK,,2018-08-09,,-1.0
7,,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,A374714,0,STRAY,COMM CAT,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC SH,BLACK,,2018-07-13,,0.5
8,,CAT,DOMESTIC SH,ORANGE/WHITE,Unknown,KITTN,A374718,0,STRAY,COMM CAT,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC SH,ORANGE,,2018-07-13,,0.5
9,ENZO,DOG,PIT BULL,GRAY,Male,LARGE,A375100,9,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,PIT BULL,GRAY,,2018-08-01,,-1.0
10,,CAT,DOMESTIC SH,BLACK,Male,KITTN,A372728,0,STRAY,MUN_SHELT,EUTHANIZE,UNKNOWN,*PETALUMA,DOMESTIC SH,BLACK,2018-05-15,2018-05-22,7 days 00:00:00.000000000,0.02
12,,CAT,DOMESTIC SH,BRN TABBY,Female,KITTN,A372729,0,STRAY,MUN_SHELT,EUTHANIZE,UNKNOWN,*PETALUMA,DOMESTIC SH,BROWN,2018-05-15,2018-05-22,7 days 00:00:00.000000000,0.02
13,,DOG,GERM SHEPHERD,YELLOW,Male,LARGE,A373987,7,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,GERM SHEPHERD,YELLOW,2017-11-14,2018-06-12,210 days 00:00:00.000000000,0.58
15,,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,A374716,0,STRAY,COMM CAT,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC SH,BLACK,,2018-07-13,,0.5
16,,DOG,PIT BULL,BLUE/WHITE,Male,LARGE,A372648,32,STRAY,FIELD,EUTHANIZE,UNTREATABLE,SANTA ROSA,PIT BULL,BLUE,2009-05-21,2018-05-18,3284 days 00:00:00.000000000,9.0
19,ROXY,DOG,PIT BULL,BLACK/WHITE,Spayed,MED,A375946,30,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,COUNTY,PIT BULL,BLACK,2016-11-05,2018-09-11,675 days 00:00:00.000000000,1.85
20,,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,A374715,0,STRAY,COMM CAT,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC SH,BLACK,,2018-07-13,,0.5
21,THOR,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,A291590,3,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNKNOWN,COUNTY,DOMESTIC SH,BROWN,2007-05-04,2018-07-10,4085 days 00:00:00.000000000,11.19
22,,CAT,DOMESTIC SH,ORANGE/WHITE,Unknown,KITTN,A374717,0,STRAY,COMM CAT,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC SH,ORANGE,,2018-07-13,,0.5
23,,OTHER,CHICKEN,RED/BLACK,Male,MED,A374248,108,CONFISCATE,FLD_CRUEL,EUTHANIZE,UNTREATABLE,COUNTY,CHICKEN,RED,,2018-06-25,,-1.0
24,,CAT,DOMESTIC SH,GRAY/WHITE,Unknown,MED,A372777,0,STRAY,FIELD,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,GRAY,,2018-05-23,,-1.0
25,,CAT,DOMESTIC SH,BUFF/WHITE,Neutered,SMALL,A372481,11,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,DOMESTIC SH,BUFF,2007-05-12,2018-05-12,4018 days 00:00:00.000000000,11.01
28,,DOG,PIT BULL,BL BRINDLE,Female,LARGE,A383473,19,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,PIT BULL,BLACK,2016-01-12,2019-01-12,1096 days 00:00:00.000000000,3.0
29,HAZEL,DOG,PIT BULL,BLUE,Female,MED,A383463,19,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,PIT BULL,BLUE,,2019-01-12,,-1.0
30,,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,A374149,0,STRAY,FIELD,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC SH,TORTIE,,2018-06-20,,-1.0
31,,DOG,GERM SHEPHERD,BLACK/TAN,Male,LARGE,A372510,11,STRAY,FIELD,EUTHANIZE,UNTREATABLE,SANTA ROSA,GERM SHEPHERD,BLACK,,2018-05-13,,-1.0
32,,CAT,DOMESTIC SH,WHITE/BRN TABBY,Unknown,KITTN,A374729,0,STRAY,FIELD,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,WHITE,,2018-07-14,,0.5
33,,CAT,DOMESTIC SH,BRN TABBY/WHITE,Unknown,KITTN,A374730,0,STRAY,FIELD,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,BROWN,,2018-07-14,,0.5
34,,DOG,PIT BULL,TAN/WHITE,Female,MED,A371262,27,STRAY,FIELD,EUTHANIZE,UNTREATABLE,COUNTY,PIT BULL,TAN,2013-04-27,2018-04-27,1826 days 00:00:00.000000000,5.0
35,RAIDER,DOG,PIT BULL,GRAY/WHITE,Neutered,LARGE,A375933,0,CONFISCATE,FLD_EVICT,EUTHANIZE,UNKNOWN,COUNTY,PIT BULL,GRAY,,2018-09-10,,-1.0
36,,OTHER,BAT,BLACK,Unknown,SMALL,A384042,4,QUARANTINE,FLD_STRAY,TRANSFER,UNKNOWN,COUNTY,BAT,BLACK,,2019-01-27,,-1.0
37,,CAT,DOMESTIC LH,BRN TABBY/WHITE,Unknown,KITTN,A374191,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC LH,BROWN,2018-05-21,2018-06-21,31 days 00:00:00.000000000,0.08
39,,OTHER,BAT,BROWN,Unknown,SMALL,A374757,0,QUARANTINE,FLD_STRAY,TRANSFER,UNKNOWN,SANTA ROSA,BAT,BROWN,,2018-07-16,,-1.0
40,,OTHER,BAT,BLACK,Unknown,SMALL,A374750,1,QUARANTINE,FLD_STRAY,TRANSFER,UNKNOWN,COUNTY,BAT,BLACK,,2018-07-15,,-1.0
42,,CAT,DOMESTIC SH,GRAY,Female,SMALL,A379073,14,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,GRAY,2018-04-30,2018-10-30,183 days 00:00:00.000000000,0.5
43,,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,A372908,0,STRAY,FIELD,EUTHANIZE,UNKNOWN,COUNTY,DOMESTIC SH,BROWN,,2018-05-25,,-1.0
44,,CAT,DOMESTIC SH,BRN TABBY/WHITE,Unknown,KITTN,A374190,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC SH,BROWN,2018-05-21,2018-06-21,31 days 00:00:00.000000000,0.08
45,,CAT,SIAMESE,SEAL PT,Male,SMALL,A331524,8,STRAY,FIELD,TRANSFER,HEALTHY,WINDSOR,SIAMESE,SEAL PT,2015-09-05,2016-01-04,121 days 00:00:00.000000000,0.33
46,*MAX,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,A376233,53,STRAY,COMM CAT,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,BLACK,2018-07-21,2018-09-21,62 days 00:00:00.000000000,0.17
47,,DOG,CHIHUAHUA SH,BLACK/TAN,Male,TOY,A372605,9,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,CHIHUAHUA,BLACK,,2018-05-17,,-1.0
48,GORDY,DOG,PARSON RUSS TER,TRICOLOR,Neutered,MED,A371306,27,STRAY,FIELD,ADOPTION,HEALTHY,SANTA ROSA,PARSON RUSS TER,TRICOLOR,2009-05-08,2018-04-29,3278 days 00:00:00.000000000,8.98
49,,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Female,KITTN,A372952,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,COUNTY,DOMESTIC SH,GRAY,,2018-05-26,,0.5
50,*RANDY,DOG,CHIHUAHUA SH,TAN,Neutered,SMALL,A372090,24,STRAY,FIELD,EUTHANIZE,TREATABLE/MANAGEABLE,SANTA ROSA,CHIHUAHUA,TAN,2010-05-17,2018-05-02,2907 days 00:00:00.000000000,7.96
51,,OTHER,BAT,BLACK,Unknown,SMALL,A375997,0,QUARANTINE,FLD_STRAY,EUTHANIZE,UNTREATABLE,COUNTY,BAT,BLACK,,2018-09-12,,-1.0
52,,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,A374207,0,STRAY,FIELD,EUTHANIZE,UNKNOWN,WINDSOR,DOMESTIC SH,BLACK,,2018-06-22,,-1.0
53,,DOG,CHIHUAHUA SH,TAN,Female,SMALL,A374209,0,STRAY,FIELD,EUTHANIZE,UNKNOWN,COUNTY,CHIHUAHUA,TAN,,2018-06-22,,-1.0
54,,OTHER,BAT,BLACK,Unknown,SMALL,A379683,1,QUARANTINE,OVER THE COUNTER_STRAY,EUTHANIZE,UNTREATABLE,COUNTY,BAT,BLACK,,2018-11-12,,-1.0
55,,CAT,SIAMESE,WHITE,Unknown,SMALL,A374178,1,STRAY,FIELD,TRANSFER,TREATABLE/REHAB,COUNTY,SIAMESE,WHITE,,2018-06-21,,-1.0
56,,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,A375012,17,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,COUNTY,DOMESTIC SH,BLACK,2004-07-28,2018-07-28,5113 days 00:00:00.000000000,14.01
57,*KATE,CAT,DOMESTIC LH,BLACK,Female,KITTN,A376235,54,STRAY,COMM CAT,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC LH,BLACK,2018-07-21,2018-09-21,62 days 00:00:00.000000000,0.17
58,LULU,DOG,CHIHUAHUA SH,BLACK/TAN,Spayed,TOY,A356375,11,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,CHIHUAHUA,BLACK,2009-08-02,2018-06-12,3236 days 00:00:00.000000000,8.87
59,,DOG,PLOTT HOUND/MIX,BR BRINDLE/WHITE,Female,MED,A381619,18,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,WINDSOR,OTHER,BROWN,,2018-12-04,,-1.0
60,MISTY,CAT,DOMESTIC SH,WHITE/GRAY,Spayed,SMALL,A383590,15,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC SH,WHITE,2004-01-17,2019-01-17,5479 days 00:00:00.000000000,15.01
61,BEAR BUDDY,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,A254472,9,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,BROWN,2010-07-22,2019-01-23,3107 days 00:00:00.000000000,8.51
62,,CAT,DOMESTIC SH,GRAY/WHITE,Unknown,KITTN,A374811,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC SH,GRAY,,2018-07-18,,0.5
63,PHUFI,DOG,CHIHUAHUA SH,WHITE,Neutered,TOY,A356374,11,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,CHIHUAHUA,WHITE,2005-08-02,2018-06-12,4697 days 00:00:00.000000000,12.87
