,Type,Sex,Size,Intake Type,Intake Subtype,Intake Jurisdiction,PredomBreed,PredomColor,IntakeAgeYrs,Type Sex,Type Size,Type Intake Type,Type Intake Subtype,Type Intake Jurisdiction,Type PredomBreed,Type PredomColor,Type IntakeAgeYrs,Sex Size,Sex Intake Type,Sex Intake Subtype,Sex Intake Jurisdiction,Sex PredomBreed,Sex PredomColor,Sex IntakeAgeYrs,Size Intake Type,Size Intake Subtype,Size Intake Jurisdiction,Size PredomBreed,Size PredomColor,Size IntakeAgeYrs,Intake Type Intake Subtype,Intake Type Intake Jurisdiction,Intake Type PredomBreed,Intake Type PredomColor,Intake Type IntakeAgeYrs,Intake Subtype Intake Jurisdiction,Intake Subtype PredomBreed,Intake Subtype PredomColor,Intake Subtype IntakeAgeYrs,Intake Jurisdiction PredomBreed,Intake Jurisdiction PredomColor,Intake Jurisdiction IntakeAgeYrs,PredomBreed PredomColor,PredomBreed IntakeAgeYrs,PredomColor IntakeAgeYrs,Outcome Type
0,2.0,4.0,4.0,3.0,11.0,5.0,6.0,2.0,-1.0,8.0,8.0,6.0,22.0,10.0,12.0,4.0,-2.0,16.0,12.0,44.0,20.0,24.0,8.0,-4.0,12.0,44.0,20.0,24.0,8.0,-4.0,33.0,15.0,18.0,6.0,-3.0,55.0,66.0,22.0,-11.0,30.0,10.0,-5.0,12.0,-6.0,-2.0,1
1,0.0,0.0,4.0,4.0,2.0,10.0,22.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,16.0,8.0,40.0,88.0,24.0,-4.0,8.0,40.0,88.0,24.0,-4.0,20.0,44.0,12.0,-2.0,220.0,60.0,-10.0,132.0,-22.0,-6.0,1
2,2.0,4.0,4.0,3.0,11.0,10.0,6.0,0.0,-1.0,8.0,8.0,6.0,22.0,20.0,12.0,0.0,-2.0,16.0,12.0,44.0,40.0,24.0,0.0,-4.0,12.0,44.0,40.0,24.0,0.0,-4.0,33.0,30.0,18.0,0.0,-3.0,110.0,66.0,0.0,-11.0,60.0,0.0,-10.0,0.0,-6.0,-0.0,1
3,0.0,3.0,2.0,2.0,13.0,10.0,21.0,18.0,8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,39.0,30.0,63.0,54.0,24.03,4.0,26.0,20.0,42.0,36.0,16.02,26.0,20.0,42.0,36.0,16.02,130.0,273.0,234.0,104.13,210.0,180.0,80.1,378.0,168.21,144.18,1
4,0.0,0.0,4.0,4.0,13.0,10.0,22.0,4.0,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,52.0,40.0,88.0,16.0,52.04,52.0,40.0,88.0,16.0,52.04,130.0,286.0,52.0,169.13,220.0,40.0,130.1,88.0,286.21999999999997,52.04,1
5,0.0,2.0,4.0,4.0,13.0,12.0,22.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.0,8.0,26.0,24.0,44.0,28.0,-2.0,16.0,52.0,48.0,88.0,56.0,-4.0,52.0,48.0,88.0,56.0,-4.0,156.0,286.0,182.0,-13.0,264.0,168.0,-12.0,308.0,-22.0,-14.0,1
6,1.0,2.0,1.0,2.0,13.0,10.0,50.0,0.0,-1.0,2.0,1.0,2.0,13.0,10.0,50.0,0.0,-1.0,2.0,4.0,26.0,20.0,100.0,0.0,-2.0,2.0,13.0,10.0,50.0,0.0,-1.0,26.0,20.0,100.0,0.0,-2.0,130.0,650.0,0.0,-13.0,500.0,0.0,-10.0,0.0,-50.0,-0.0,1
7,0.0,4.0,0.0,4.0,1.0,12.0,22.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,48.0,88.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,88.0,0.0,2.0,12.0,22.0,0.0,0.5,264.0,0.0,6.0,0.0,11.0,0.0,1
8,0.0,4.0,0.0,4.0,1.0,12.0,22.0,11.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,48.0,88.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,88.0,44.0,2.0,12.0,22.0,11.0,0.5,264.0,132.0,6.0,242.0,11.0,5.5,1
9,1.0,1.0,1.0,2.0,13.0,10.0,42.0,9.0,-1.0,1.0,1.0,2.0,13.0,10.0,42.0,9.0,-1.0,1.0,2.0,13.0,10.0,42.0,9.0,-1.0,2.0,13.0,10.0,42.0,9.0,-1.0,26.0,20.0,84.0,18.0,-2.0,130.0,546.0,117.0,-13.0,420.0,90.0,-10.0,378.0,-42.0,-9.0,1
10,0.0,1.0,0.0,4.0,12.0,3.0,22.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,3.0,22.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,48.0,12.0,88.0,0.0,0.08,36.0,264.0,0.0,0.24,66.0,0.0,0.06,0.0,0.44,0.0,1
11,0.0,0.0,0.0,4.0,12.0,3.0,22.0,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,12.0,88.0,8.0,0.08,36.0,264.0,24.0,0.24,66.0,6.0,0.06,44.0,0.44,0.04,1
